Data,Sold
07.01.2019,16834.5
08.01.2019,12358.09
09.01.2019,10049.86
10.01.2019,-7566.17
11.01.2019,-4356.13
14.01.2019,-3860.13
15.01.2019,2183.87
17.01.2019,-515.15
18.01.2019,-848.61
21.01.2019,-21241.08
22.01.2019,-21769.79
23.01.2019,-22154.04
25.01.2019,-22174.04
28.01.2019,-22824.04
29.01.2019,-20938.04
30.01.2019,-22495.9
31.01.2019,-22023.77
01.02.2019,-18892.28
06.02.2019,-18126.52
07.02.2019,-17050.52
08.02.2019,-15447.69
12.02.2019,-16744.1
13.02.2019,-14049.01
14.02.2019,-14539.01
15.02.2019,-12653.01
18.02.2019,-20611.35
19.02.2019,-18725.35
20.02.2019,-18872.42
21.02.2019,-11859.21
22.02.2019,-19333.23
25.02.2019,-14852.25
26.02.2019,-10142.76
28.02.2019,-11575.09
01.03.2019,-8203.09
04.03.2019,-11448.09
05.03.2019,-7721.09
06.03.2019,-7761.09
07.03.2019,-6572.09
08.03.2019,-5086.09
11.03.2019,-20102.09
12.03.2019,-18230.09
13.03.2019,-13865.09
15.03.2019,-1201.09
18.03.2019,2203.4
19.03.2019,11670.79
20.03.2019,11597.38
21.03.2019,10644.87
22.03.2019,-4806.2
27.03.2019,-4806.2
31.03.2019,-6561.04
01.04.2019,-15326.55
02.04.2019,-10583.24
03.04.2019,-11397.98
08.04.2019,-11597.98
09.04.2019,-11797.98
10.04.2019,-23349.98
12.04.2019,-24878.42
15.04.2019,-24502.83
17.04.2019,-20927.83
19.04.2019,-21035.9
22.04.2019,-32026.96
23.04.2019,-30296.65
24.04.2019,-31324.6
25.04.2019,-32809.11
30.04.2019,-32949.07
02.05.2019,-32499.58
03.05.2019,-27241.58
06.05.2019,-17803.55
07.05.2019,-15721.55
08.05.2019,-19406.06
10.05.2019,-27264.06
14.05.2019,-27272.09
15.05.2019,-27457.09
16.05.2019,-26118.09
20.05.2019,-27212.53
22.05.2019,-34941.35
23.05.2019,-35141.35
27.05.2019,-29480.36
31.05.2019,-29628.83
03.06.2019,-29828.83
05.06.2019,-32016.23
10.06.2019,-44955.23
11.06.2019,-43469.23
14.06.2019,-43841.74
20.06.2019,-44115.53
21.06.2019,-46547.53
24.06.2019,-56754.35
26.06.2019,-57214.46
30.06.2019,-57326.91
21.08.2019,-75042.15
